probe:18:45:10.09, resp:18:45:09.65, diff:-0.45
probe:19:02:05.09, resp:19:02:05.86, diff:+0.77
probe:19:02:10.09, resp:19:02:10.86, diff:+0.77
probe:19:02:15.09, resp:19:02:15.88, diff:+0.78
probe:19:02:20.09, resp:19:02:20.88, diff:+0.78
probe:19:02:25.09, resp:19:02:25.88, diff:+0.78
probe:19:02:30.09, resp:19:02:30.88, diff:+0.78
probe:19:02:35.09, resp:19:02:35.89, diff:+0.79
probe:19:02:40.09, resp:19:02:40.88, diff:+0.78
probe:19:02:45.09, resp:19:02:45.89, diff:+0.79
probe:19:02:50.09, resp:19:02:50.89, diff:+0.79
probe:19:02:55.09, resp:19:02:55.89, diff:+0.79
probe:19:03:00.09, resp:19:03:00.89, diff:+0.79
probe:19:03:05.09, resp:19:03:05.90, diff:+0.80
probe:19:03:10.09, resp:19:03:10.90, diff:+0.80
probe:19:03:15.09, resp:19:03:15.90, diff:+0.80
probe:19:03:20.09, resp:19:03:20.90, diff:+0.80
probe:19:03:25.09, resp:19:03:25.90, diff:+0.80
probe:19:03:30.09, resp:19:03:30.90, diff:+0.80
probe:19:03:35.09, resp:19:03:35.91, diff:+0.81
probe:19:03:40.09, resp:19:03:40.91, diff:+0.81
probe:19:03:45.09, resp:19:03:45.91, diff:+0.81
probe:19:03:50.09, resp:19:03:50.91, diff:+0.81
probe:19:03:55.09, resp:19:03:55.91, diff:+0.81
probe:19:04:00.09, resp:19:04:00.91, diff:+0.81
probe:19:04:05.09, resp:19:04:05.92, diff:+0.82
probe:19:04:10.09, resp:19:04:10.92, diff:+0.82
probe:19:04:15.09, resp:19:04:15.92, diff:+0.82
probe:19:04:20.09, resp:19:04:20.92, diff:+0.82
probe:19:04:25.09, resp:19:04:25.92, diff:+0.82
probe:19:04:30.09, resp:19:04:30.92, diff:+0.82
probe:19:04:35.09, resp:19:04:35.93, diff:+0.83
probe:19:04:40.09, resp:19:04:40.93, diff:+0.83
probe:19:04:45.09, resp:19:04:45.92, diff:+0.82
probe:19:04:50.09, resp:19:04:50.92, diff:+0.82
probe:19:04:55.09, resp:19:04:55.92, diff:+0.82
probe:19:05:00.09, resp:19:05:00.92, diff:+0.82
probe:19:05:05.09, resp:19:05:05.92, diff:+0.82
probe:19:05:10.09, resp:19:05:10.93, diff:+0.83
probe:19:05:15.09, resp:19:05:15.93, diff:+0.83
probe:19:05:20.09, resp:19:05:20.93, diff:+0.83
probe:19:05:25.09, resp:19:05:25.93, diff:+0.83
probe:19:05:30.09, resp:19:05:30.93, diff:+0.83
probe:19:05:35.09, resp:19:05:35.93, diff:+0.83
probe:19:05:40.09, resp:19:05:40.94, diff:+0.84
probe:19:05:45.09, resp:19:05:45.94, diff:+0.84
probe:19:05:50.09, resp:19:05:50.94, diff:+0.84
probe:19:05:55.09, resp:19:05:55.94, diff:+0.84
probe:19:06:00.09, resp:19:06:00.94, diff:+0.84
probe:19:06:05.09, resp:19:06:05.94, diff:+0.84
probe:19:06:10.09, resp:19:06:10.95, diff:+0.85
probe:19:06:15.09, resp:19:06:15.95, diff:+0.85
probe:19:06:20.09, resp:19:06:20.95, diff:+0.85
probe:19:06:25.11, resp:19:06:25.97, diff:+0.85
probe:19:06:30.13, resp:19:06:30.98, diff:+0.85
probe:19:06:35.13, resp:19:06:35.98, diff:+0.85
probe:19:06:40.13, resp:19:06:40.98, diff:+0.85
probe:19:06:45.13, resp:19:06:45.98, diff:+0.85
probe:19:06:50.13, resp:19:06:50.98, diff:+0.85
probe:19:06:55.13, resp:19:06:55.99, diff:+0.86
probe:19:07:00.13, resp:19:07:00.99, diff:+0.86
probe:19:07:05.13, resp:19:07:05.99, diff:+0.86
probe:19:07:10.13, resp:19:07:10.99, diff:+0.86
probe:19:07:15.13, resp:19:07:15.99, diff:+0.86
probe:19:07:20.13, resp:19:07:20.99, diff:+0.86
probe:19:07:25.13, resp:19:07:25.99, diff:+0.86
probe:19:07:30.13, resp:19:07:31.00, diff:+0.87
probe:19:07:35.13, resp:19:07:36.00, diff:+0.87
probe:19:07:40.13, resp:19:07:41.00, diff:+0.87
probe:19:07:45.13, resp:19:07:46.00, diff:+0.88
probe:19:07:50.13, resp:19:07:51.00, diff:+0.87
probe:19:07:55.13, resp:19:07:56.00, diff:+0.88
probe:19:08:00.13, resp:19:08:01.00, diff:+0.88
probe:19:08:05.13, resp:19:08:06.00, diff:+0.88
probe:19:08:10.13, resp:19:08:11.00, diff:+0.88
probe:19:08:15.13, resp:19:08:16.00, diff:+0.88
probe:19:08:20.13, resp:19:08:21.00, diff:+0.88
probe:19:08:25.13, resp:19:08:26.00, diff:+0.88
probe:19:08:30.13, resp:19:08:31.01, diff:+0.89
probe:19:08:35.13, resp:19:08:36.01, diff:+0.89
probe:19:08:40.13, resp:19:08:41.01, diff:+0.89
probe:19:08:45.13, resp:19:08:46.01, diff:+0.89
probe:19:08:50.13, resp:19:08:51.01, diff:+0.89
probe:19:08:55.13, resp:19:08:56.01, diff:+0.89
probe:19:09:00.13, resp:19:09:01.02, diff:+0.90
probe:19:09:05.13, resp:19:09:06.02, diff:+0.90
probe:19:09:10.13, resp:19:09:11.02, diff:+0.90
probe:19:09:15.13, resp:19:09:16.02, diff:+0.90
probe:19:09:20.13, resp:19:09:21.02, diff:+0.90
probe:19:09:25.13, resp:19:09:26.02, diff:+0.90
probe:19:09:30.13, resp:19:09:31.02, diff:+0.90
probe:19:09:35.13, resp:19:09:36.03, diff:+0.91
probe:19:09:40.13, resp:19:09:41.03, diff:+0.91
probe:19:09:45.13, resp:19:09:46.03, diff:+0.91
probe:19:09:50.13, resp:19:09:51.03, diff:+0.91
probe:19:09:55.13, resp:19:09:56.03, diff:+0.91
probe:19:10:00.13, resp:19:10:01.04, diff:+0.92
probe:19:10:05.13, resp:19:10:06.04, diff:+0.92
probe:19:10:10.13, resp:19:10:11.04, diff:+0.92
probe:19:10:15.13, resp:19:10:16.04, diff:+0.92
probe:19:10:20.13, resp:19:10:21.04, diff:+0.92
probe:19:10:25.13, resp:19:10:26.04, diff:+0.92
probe:19:10:30.13, resp:19:10:31.05, diff:+0.93
probe:19:10:35.13, resp:19:10:36.05, diff:+0.93
probe:19:10:40.13, resp:19:10:41.05, diff:+0.93
probe:19:10:45.13, resp:19:10:46.05, diff:+0.93
probe:19:10:50.13, resp:19:10:51.06, diff:+0.94
probe:19:10:55.13, resp:19:10:56.06, diff:+0.94
probe:19:11:00.13, resp:19:11:01.06, diff:+0.94
probe:19:11:05.13, resp:19:11:06.06, diff:+0.94
probe:19:11:10.13, resp:19:11:11.07, diff:+0.95
probe:19:11:15.13, resp:19:11:16.07, diff:+0.95
probe:19:11:20.13, resp:19:11:21.07, diff:+0.95
probe:19:11:25.13, resp:19:11:26.08, diff:+0.96
probe:19:11:30.13, resp:19:11:31.08, diff:+0.96
probe:19:11:35.13, resp:19:11:36.08, diff:+0.96
probe:19:11:40.13, resp:19:11:41.09, diff:+0.97
probe:19:11:45.13, resp:19:11:46.09, diff:+0.97
probe:19:11:50.13, resp:19:11:51.09, diff:+0.97
probe:19:11:55.13, resp:19:11:56.09, diff:+0.97
probe:19:12:00.13, resp:19:12:01.09, diff:+0.97
probe:19:12:05.13, resp:19:12:06.10, diff:+0.98
probe:19:12:10.13, resp:19:12:11.10, diff:+0.98
probe:19:12:15.13, resp:19:12:16.10, diff:+0.98
probe:19:12:20.13, resp:19:12:21.10, diff:+0.98
probe:19:12:25.13, resp:19:12:26.10, diff:+0.98
probe:19:12:32.43, resp:19:12:31.10, diff:-1.32
probe:19:12:37.43, resp:19:12:36.11, diff:-1.31
probe:19:12:42.43, resp:19:12:41.11, diff:-1.31
probe:19:12:47.43, resp:19:12:46.11, diff:-1.31
probe:19:12:52.43, resp:19:12:51.13, diff:-1.30
probe:19:12:57.43, resp:19:12:56.13, diff:-1.30
probe:19:13:02.43, resp:19:13:01.13, diff:-1.30
probe:19:13:07.43, resp:19:13:06.13, diff:-1.30
probe:19:13:12.43, resp:19:13:11.13, diff:-1.30
probe:19:13:17.43, resp:19:13:16.13, diff:-1.30
probe:19:13:22.43, resp:19:13:21.13, diff:-1.30
probe:19:13:27.44, resp:19:13:26.13, diff:-1.31
probe:19:13:32.44, resp:19:13:31.13, diff:-1.31
probe:19:13:37.44, resp:19:13:36.13, diff:-1.31
probe:19:13:42.44, resp:19:13:41.14, diff:-1.30
probe:19:13:47.44, resp:19:13:46.14, diff:-1.30
probe:19:13:52.44, resp:19:13:51.14, diff:-1.30
probe:19:13:57.44, resp:19:13:56.14, diff:-1.30
probe:19:14:02.44, resp:19:14:01.15, diff:-1.29
probe:19:14:07.44, resp:19:14:06.15, diff:-1.29
probe:19:14:12.44, resp:19:14:11.15, diff:-1.29
probe:19:14:17.44, resp:19:14:16.15, diff:-1.29
probe:19:14:22.44, resp:19:14:21.15, diff:-1.29
probe:19:14:27.44, resp:19:14:26.16, diff:-1.28
probe:19:14:32.44, resp:19:14:31.16, diff:-1.28
probe:19:14:37.44, resp:19:14:36.16, diff:-1.28
probe:19:14:42.44, resp:19:14:41.16, diff:-1.28
probe:19:14:47.44, resp:19:14:46.17, diff:-1.27
probe:19:14:52.44, resp:19:14:51.17, diff:-1.27
probe:19:14:57.44, resp:19:14:56.17, diff:-1.27
probe:19:15:02.44, resp:19:15:01.17, diff:-1.27
probe:19:15:07.44, resp:19:15:06.17, diff:-1.27
probe:19:15:12.44, resp:19:15:11.18, diff:-1.26
probe:19:15:17.44, resp:19:15:16.18, diff:-1.26
probe:19:15:22.44, resp:19:15:21.18, diff:-1.26
probe:19:15:27.44, resp:19:15:26.18, diff:-1.26
probe:19:15:32.44, resp:19:15:31.19, diff:-1.25
probe:19:15:37.44, resp:19:15:36.19, diff:-1.25
probe:19:15:42.44, resp:19:15:41.19, diff:-1.25
probe:19:15:47.44, resp:19:15:46.19, diff:-1.25
probe:19:15:52.44, resp:19:15:51.19, diff:-1.25
probe:19:15:57.44, resp:19:15:56.19, diff:-1.25
probe:19:16:02.44, resp:19:16:01.20, diff:-1.24
probe:19:16:07.44, resp:19:16:06.20, diff:-1.24
probe:19:16:12.44, resp:19:16:11.20, diff:-1.24
probe:19:16:17.44, resp:19:16:16.21, diff:-1.23
probe:19:16:22.45, resp:19:16:21.21, diff:-1.24
probe:19:16:27.45, resp:19:16:26.21, diff:-1.24
probe:19:16:32.45, resp:19:16:31.21, diff:-1.24
probe:19:16:37.45, resp:19:16:36.22, diff:-1.23
probe:19:16:42.45, resp:19:16:41.22, diff:-1.23
probe:19:16:47.45, resp:19:16:46.22, diff:-1.23
probe:19:16:52.45, resp:19:16:51.22, diff:-1.23
probe:19:16:57.45, resp:19:16:56.22, diff:-1.23
probe:19:17:02.45, resp:19:17:01.23, diff:-1.22
probe:19:17:07.45, resp:19:17:06.23, diff:-1.22
probe:19:17:12.45, resp:19:17:11.23, diff:-1.22
probe:19:17:17.45, resp:19:17:16.23, diff:-1.22
probe:19:17:22.45, resp:19:17:21.24, diff:-1.21
probe:19:17:27.45, resp:19:17:26.24, diff:-1.21
probe:19:17:32.45, resp:19:17:31.24, diff:-1.21
probe:19:17:37.45, resp:19:17:36.24, diff:-1.21
probe:19:17:42.45, resp:19:17:41.24, diff:-1.21
probe:19:17:47.45, resp:19:17:46.24, diff:-1.21
probe:19:17:52.45, resp:19:17:51.24, diff:-1.21
probe:19:17:57.45, resp:19:17:56.24, diff:-1.21
probe:19:18:02.45, resp:19:18:01.24, diff:-1.21
probe:19:18:07.45, resp:19:18:06.25, diff:-1.20
probe:19:18:12.45, resp:19:18:11.25, diff:-1.20
probe:19:18:17.45, resp:19:18:16.25, diff:-1.20
probe:19:18:22.45, resp:19:18:21.25, diff:-1.20
probe:19:18:27.45, resp:19:18:26.25, diff:-1.20
probe:19:18:32.45, resp:19:18:31.25, diff:-1.19
probe:19:18:37.45, resp:19:18:36.25, diff:-1.19
probe:19:18:42.45, resp:19:18:41.25, diff:-1.19
probe:19:18:47.45, resp:19:18:46.25, diff:-1.19
probe:19:18:52.45, resp:19:18:51.26, diff:-1.18
probe:19:18:57.45, resp:19:18:56.26, diff:-1.18
probe:19:19:02.45, resp:19:19:01.26, diff:-1.18
probe:19:19:07.45, resp:19:19:06.26, diff:-1.18
probe:19:19:12.45, resp:19:19:11.27, diff:-1.17
probe:19:19:17.46, resp:19:19:16.27, diff:-1.18
probe:19:19:22.46, resp:19:19:21.27, diff:-1.18
probe:19:19:27.46, resp:19:19:26.27, diff:-1.18
probe:19:19:32.46, resp:19:19:31.27, diff:-1.18
probe:19:19:37.46, resp:19:19:36.28, diff:-1.17
probe:19:19:42.46, resp:19:19:41.28, diff:-1.17
probe:19:19:47.46, resp:19:19:46.28, diff:-1.17
probe:19:19:52.46, resp:19:19:51.28, diff:-1.17
probe:19:19:57.46, resp:19:19:56.29, diff:-1.16
probe:19:20:02.46, resp:19:20:01.29, diff:-1.16
probe:19:20:07.46, resp:19:20:06.29, diff:-1.16
probe:19:20:12.46, resp:19:20:11.29, diff:-1.16
probe:19:20:17.46, resp:19:20:16.29, diff:-1.16
probe:19:20:22.46, resp:19:20:21.30, diff:-1.15
probe:19:20:27.46, resp:19:20:26.30, diff:-1.15
probe:19:20:32.46, resp:19:20:31.30, diff:-1.15
probe:19:20:37.46, resp:19:20:36.30, diff:-1.15
probe:19:20:42.46, resp:19:20:41.31, diff:-1.14
probe:19:20:47.46, resp:19:20:46.31, diff:-1.14
probe:19:20:52.46, resp:19:20:51.31, diff:-1.14
probe:19:20:57.46, resp:19:20:56.31, diff:-1.14
probe:19:21:02.46, resp:19:21:01.32, diff:-1.13
probe:19:21:07.46, resp:19:21:06.32, diff:-1.13
probe:19:21:12.46, resp:19:21:11.32, diff:-1.13
probe:19:21:17.46, resp:19:21:16.32, diff:-1.13
probe:19:21:22.46, resp:19:21:21.32, diff:-1.13
probe:19:21:27.46, resp:19:21:26.32, diff:-1.13
probe:19:21:32.46, resp:19:21:31.32, diff:-1.13
probe:19:21:37.46, resp:19:21:36.32, diff:-1.13
probe:19:21:42.46, resp:19:21:41.33, diff:-1.12
probe:19:21:47.46, resp:19:21:46.33, diff:-1.12
probe:19:21:52.46, resp:19:21:51.33, diff:-1.12
probe:19:21:57.46, resp:19:21:56.34, diff:-1.11
probe:19:22:02.46, resp:19:22:01.34, diff:-1.11
probe:19:22:07.46, resp:19:22:06.34, diff:-1.11
probe:19:22:12.47, resp:19:22:11.35, diff:-1.11
probe:19:22:17.47, resp:19:22:16.35, diff:-1.11
probe:19:22:22.47, resp:19:22:21.35, diff:-1.11
probe:19:22:27.47, resp:19:22:26.35, diff:-1.11
probe:19:22:32.47, resp:19:22:31.36, diff:-1.10
probe:19:22:37.47, resp:19:22:36.36, diff:-1.10
probe:19:22:42.47, resp:19:22:41.36, diff:-1.10
probe:19:22:47.47, resp:19:22:46.36, diff:-1.10
probe:19:22:52.47, resp:19:22:51.38, diff:-1.09
probe:19:22:57.47, resp:19:22:56.38, diff:-1.09
probe:19:23:02.47, resp:19:23:01.38, diff:-1.09
probe:19:23:07.47, resp:19:23:06.38, diff:-1.09
probe:19:23:12.47, resp:19:23:11.39, diff:-1.08
probe:19:23:17.47, resp:19:23:16.39, diff:-1.08
probe:19:23:22.47, resp:19:23:21.39, diff:-1.08
probe:19:23:27.47, resp:19:23:26.40, diff:-1.07
probe:19:23:32.47, resp:19:23:31.40, diff:-1.07
probe:19:23:37.47, resp:19:23:36.40, diff:-1.07
probe:19:23:42.47, resp:19:23:41.40, diff:-1.07
probe:19:23:47.47, resp:19:23:46.41, diff:-1.06
probe:19:23:52.47, resp:19:23:51.41, diff:-1.06
probe:19:23:57.47, resp:19:23:56.41, diff:-1.06
