probe:18:25:40.09, resp:18:25:36.88, diff:-3.22
probe:18:29:10.09, resp:18:29:10.24, diff:+0.14
probe:18:29:15.09, resp:18:29:15.25, diff:+0.15
probe:18:29:20.09, resp:18:29:20.07, diff:-0.02
probe:18:29:25.09, resp:18:29:24.59, diff:-0.50
probe:18:29:30.09, resp:18:29:29.59, diff:-0.50
probe:18:29:35.09, resp:18:29:34.60, diff:-0.49
probe:18:29:40.09, resp:18:29:39.60, diff:-0.49
probe:18:29:45.09, resp:18:29:44.18, diff:-0.92
probe:18:29:50.09, resp:18:29:49.16, diff:-0.94
probe:18:29:55.09, resp:18:29:53.99, diff:-1.11
probe:18:30:00.09, resp:18:29:58.39, diff:-1.71
probe:18:30:05.09, resp:18:30:02.79, diff:-2.30
probe:18:30:10.09, resp:18:30:07.19, diff:-2.91
probe:18:30:15.09, resp:18:30:11.56, diff:-3.53
probe:18:30:20.09, resp:18:30:15.96, diff:-4.14
probe:18:30:25.09, resp:18:30:20.95, diff:-4.15
probe:18:30:30.09, resp:18:30:25.95, diff:-4.15
probe:18:30:35.09, resp:18:30:30.95, diff:-4.15
probe:18:30:40.09, resp:18:30:35.96, diff:-4.14
probe:18:30:45.09, resp:18:30:40.96, diff:-4.14
probe:18:30:50.09, resp:18:30:45.96, diff:-4.14
probe:18:30:55.09, resp:18:30:50.97, diff:-4.13
probe:18:31:00.09, resp:18:30:55.97, diff:-4.13
probe:18:31:05.09, resp:18:31:00.97, diff:-4.13
probe:18:31:10.09, resp:18:31:05.78, diff:-4.31
probe:18:31:15.09, resp:18:31:10.20, diff:-4.90
probe:18:31:20.09, resp:18:31:14.60, diff:-5.49
probe:18:31:25.09, resp:18:31:19.01, diff:-6.08
probe:18:31:30.09, resp:18:31:23.41, diff:-6.69
probe:18:31:35.09, resp:18:31:27.82, diff:-7.27
probe:18:31:40.09, resp:18:31:32.65, diff:-7.45
probe:18:31:45.09, resp:18:31:37.66, diff:-7.44
probe:18:31:50.09, resp:18:31:42.66, diff:-7.44
probe:18:31:55.09, resp:18:31:47.66, diff:-7.44
probe:18:32:00.09, resp:18:31:52.67, diff:-7.43
probe:18:32:05.09, resp:18:31:57.09, diff:-8.00
probe:18:32:10.09, resp:18:32:01.55, diff:-8.54
probe:18:32:15.09, resp:18:32:05.94, diff:-9.16
probe:18:32:20.09, resp:18:32:10.33, diff:-9.76
probe:18:32:25.09, resp:18:32:14.75, diff:-10.34
probe:18:32:30.09, resp:18:32:19.41, diff:-10.69
probe:18:32:35.09, resp:18:32:24.42, diff:-10.68
probe:18:32:40.09, resp:18:32:29.42, diff:-10.68
probe:18:32:45.09, resp:18:32:34.43, diff:-10.67
probe:18:32:50.09, resp:18:32:39.43, diff:-10.67
probe:18:32:55.09, resp:18:32:44.43, diff:-10.67
probe:18:33:00.09, resp:18:32:49.44, diff:-10.66
probe:18:33:05.09, resp:18:32:54.15, diff:-10.95
probe:18:33:10.09, resp:18:32:58.75, diff:-11.35
probe:18:33:15.09, resp:18:33:03.69, diff:-11.41
probe:18:33:20.09, resp:18:33:08.08, diff:-12.01
probe:18:33:25.09, resp:18:33:12.47, diff:-12.63
probe:18:33:30.09, resp:18:33:16.85, diff:-13.24
probe:18:33:35.09, resp:18:33:21.58, diff:-13.51
probe:18:33:40.09, resp:18:33:26.58, diff:-13.51
probe:18:33:45.09, resp:18:33:31.59, diff:-13.50
probe:18:33:50.09, resp:18:33:36.59, diff:-13.50
probe:18:33:55.09, resp:18:33:41.59, diff:-13.50
probe:18:34:00.09, resp:18:33:46.59, diff:-13.50
probe:18:34:05.09, resp:18:33:51.00, diff:-14.09
probe:18:34:10.09, resp:18:34:10.49, diff:+0.39
probe:18:34:15.09, resp:18:34:14.86, diff:-0.23
probe:18:34:20.09, resp:18:34:19.25, diff:-0.84
probe:18:34:25.09, resp:18:34:23.63, diff:-1.47
probe:18:34:30.09, resp:18:34:28.00, diff:-2.09
probe:18:34:35.09, resp:18:34:32.39, diff:-2.71
probe:18:34:40.09, resp:18:34:36.86, diff:-3.23
probe:18:34:45.09, resp:18:34:41.88, diff:-3.22
probe:18:34:50.09, resp:18:34:46.88, diff:-3.22
probe:18:34:55.09, resp:18:34:51.88, diff:-3.22
probe:18:35:00.09, resp:18:34:56.89, diff:-3.21
probe:18:35:05.09, resp:18:35:01.89, diff:-3.21
probe:18:35:10.09, resp:18:35:06.89, diff:-3.21
probe:18:35:15.09, resp:18:35:11.59, diff:-3.50
probe:18:35:20.09, resp:18:35:16.54, diff:-3.55
probe:18:35:25.09, resp:18:35:21.54, diff:-3.55
probe:18:35:30.09, resp:18:35:26.54, diff:-3.55
probe:18:35:35.09, resp:18:35:31.55, diff:-3.54
probe:18:35:40.09, resp:18:35:36.55, diff:-3.54
probe:18:35:45.09, resp:18:35:41.55, diff:-3.54
probe:18:35:50.09, resp:18:35:46.56, diff:-3.53
probe:18:35:55.09, resp:18:35:51.56, diff:-3.53
probe:18:36:00.09, resp:18:35:56.57, diff:-3.52
probe:18:36:05.09, resp:18:36:01.57, diff:-3.52
probe:18:36:10.09, resp:18:36:06.57, diff:-3.52
probe:18:36:15.09, resp:18:36:11.58, diff:-3.51
probe:18:36:20.09, resp:18:36:16.46, diff:-3.64
probe:18:36:25.09, resp:18:36:21.36, diff:-3.73
probe:18:36:30.09, resp:18:36:26.25, diff:-3.84
probe:18:36:35.09, resp:18:36:30.88, diff:-4.22
probe:18:36:40.09, resp:18:36:35.89, diff:-4.21
probe:18:36:45.09, resp:18:36:40.89, diff:-4.21
probe:18:36:50.09, resp:18:36:45.90, diff:-4.20
probe:18:36:55.09, resp:18:36:50.90, diff:-4.20
probe:18:37:00.09, resp:18:36:55.90, diff:-4.20
probe:18:37:05.09, resp:18:37:00.91, diff:-4.19
probe:18:37:10.09, resp:18:37:05.91, diff:-4.19
probe:18:37:15.09, resp:18:37:10.91, diff:-4.19
probe:18:37:20.09, resp:18:37:15.92, diff:-4.18
probe:18:37:25.09, resp:18:37:20.92, diff:-4.18
probe:18:37:30.09, resp:18:37:25.93, diff:-4.17
probe:18:37:35.09, resp:18:37:30.93, diff:-4.17
probe:18:37:40.09, resp:18:37:35.92, diff:-4.18
probe:18:37:45.09, resp:18:37:40.92, diff:-4.18
probe:18:37:50.09, resp:18:37:45.92, diff:-4.18
probe:18:37:55.09, resp:18:37:50.93, diff:-4.17
probe:18:38:00.09, resp:18:37:55.50, diff:-4.59
probe:18:38:05.09, resp:18:37:59.90, diff:-5.20
probe:18:38:10.09, resp:18:38:04.30, diff:-5.79
probe:18:38:15.09, resp:18:38:08.70, diff:-6.40
probe:18:38:20.09, resp:18:38:13.70, diff:-6.40
probe:18:38:25.09, resp:18:38:18.71, diff:-6.39
probe:18:38:30.09, resp:18:38:23.71, diff:-6.39
probe:18:38:35.09, resp:18:38:28.35, diff:-6.74
probe:18:38:40.09, resp:18:38:33.36, diff:-6.73
probe:18:38:45.09, resp:18:38:38.36, diff:-6.73
probe:18:38:50.09, resp:18:38:43.31, diff:-6.78
probe:18:38:55.09, resp:18:38:47.72, diff:-7.38
probe:18:39:00.09, resp:18:38:52.29, diff:-7.80
probe:18:39:05.09, resp:18:39:05.84, diff:+0.75
probe:18:39:10.09, resp:18:39:10.85, diff:+0.76
probe:18:39:15.09, resp:18:39:15.85, diff:+0.76
probe:18:39:20.09, resp:18:39:20.85, diff:+0.76
probe:18:39:25.09, resp:18:39:25.86, diff:+0.77
probe:18:39:30.09, resp:18:39:30.86, diff:+0.77
probe:18:39:35.09, resp:18:39:35.52, diff:+0.43
probe:18:39:40.09, resp:18:39:40.04, diff:-0.05
probe:18:39:45.09, resp:18:39:45.04, diff:-0.05
probe:18:39:50.09, resp:18:39:50.04, diff:-0.05
probe:18:39:55.09, resp:18:39:55.05, diff:-0.04
probe:18:40:00.09, resp:18:40:00.05, diff:-0.04
probe:18:40:05.09, resp:18:40:04.73, diff:-0.37
probe:18:40:10.09, resp:18:40:09.13, diff:-0.97
probe:18:40:15.09, resp:18:40:13.97, diff:-1.13
probe:18:40:20.09, resp:18:40:18.95, diff:-1.15
probe:18:40:25.09, resp:18:40:23.96, diff:-1.14
probe:18:40:30.09, resp:18:40:28.96, diff:-1.14
probe:18:40:35.09, resp:18:40:33.97, diff:-1.13
probe:18:40:40.09, resp:18:40:38.97, diff:-1.13
probe:18:40:45.09, resp:18:40:43.97, diff:-1.13
probe:18:40:50.09, resp:18:40:48.98, diff:-1.12
probe:18:40:55.09, resp:18:40:53.98, diff:-1.12
probe:18:41:00.09, resp:18:40:58.80, diff:-1.29
probe:18:41:05.09, resp:18:41:03.21, diff:-1.89
probe:18:41:10.09, resp:18:41:07.61, diff:-2.48
probe:18:41:15.09, resp:18:41:12.01, diff:-3.08
probe:18:41:20.09, resp:18:41:16.80, diff:-3.29
probe:18:41:25.09, resp:18:41:21.80, diff:-3.29
probe:18:41:30.09, resp:18:41:26.66, diff:-3.44
probe:18:41:35.09, resp:18:41:31.05, diff:-4.04
probe:18:41:40.09, resp:18:41:35.46, diff:-4.64
probe:18:41:45.09, resp:18:41:40.44, diff:-4.66
probe:18:41:50.09, resp:18:41:45.00, diff:-5.10
probe:18:41:55.09, resp:18:41:49.39, diff:-5.71
probe:18:42:00.09, resp:18:41:53.78, diff:-6.31
probe:18:42:05.09, resp:18:41:58.19, diff:-6.91
probe:18:42:10.09, resp:18:42:02.61, diff:-7.48
probe:18:42:15.09, resp:18:42:07.55, diff:-7.54
probe:18:42:20.09, resp:18:42:12.32, diff:-7.77
probe:18:42:25.09, resp:18:42:16.71, diff:-8.39
probe:18:42:30.09, resp:18:42:21.08, diff:-9.01
probe:18:42:35.09, resp:18:42:25.49, diff:-9.61
probe:18:42:40.09, resp:18:42:29.88, diff:-10.22
probe:18:42:45.09, resp:18:42:34.27, diff:-10.82
probe:18:42:50.09, resp:18:42:38.66, diff:-11.44
probe:18:42:55.09, resp:18:42:43.50, diff:-11.59
probe:18:43:00.09, resp:18:42:48.50, diff:-11.59
probe:18:43:05.09, resp:18:42:53.51, diff:-11.58
probe:18:43:10.09, resp:18:42:58.51, diff:-11.58
probe:18:43:15.09, resp:18:43:03.51, diff:-11.58
probe:18:43:20.09, resp:18:43:08.52, diff:-11.57
probe:18:43:25.09, resp:18:43:13.52, diff:-11.57
probe:18:43:30.09, resp:18:43:18.52, diff:-11.57
probe:18:43:35.09, resp:18:43:23.53, diff:-11.56
probe:18:43:40.09, resp:18:43:28.54, diff:-11.55
probe:18:43:45.09, resp:18:43:33.54, diff:-11.55
probe:18:43:50.09, resp:18:43:38.54, diff:-11.55
probe:18:43:55.09, resp:18:43:43.55, diff:-11.54
probe:18:44:00.09, resp:18:43:48.55, diff:-11.54
probe:18:44:05.09, resp:18:43:53.55, diff:-11.54
probe:18:44:10.09, resp:18:44:11.08, diff:+0.99
probe:18:44:15.09, resp:18:44:16.08, diff:+0.99
probe:18:44:20.09, resp:18:44:21.09, diff:+1.00
probe:18:44:25.09, resp:18:44:26.09, diff:+1.00
probe:18:44:30.09, resp:18:44:31.10, diff:+1.01
probe:18:44:35.09, resp:18:44:36.10, diff:+1.01
probe:18:44:40.09, resp:18:44:41.11, diff:+1.02
probe:18:44:45.09, resp:18:44:46.11, diff:+1.02
probe:18:44:50.09, resp:18:44:51.11, diff:+1.02
probe:18:44:55.09, resp:18:44:56.13, diff:+1.03
probe:18:45:00.09, resp:18:45:01.13, diff:+1.03
probe:18:45:05.09, resp:18:45:06.13, diff:+1.03
probe:18:45:10.09, resp:18:45:11.13, diff:+1.03
probe:18:45:15.09, resp:18:45:16.14, diff:+1.04
probe:18:45:20.09, resp:18:45:21.14, diff:+1.04
probe:18:45:25.09, resp:18:45:26.14, diff:+1.04
probe:18:45:30.09, resp:18:45:31.15, diff:+1.05
probe:18:45:35.09, resp:18:45:36.15, diff:+1.05
probe:18:45:40.09, resp:18:45:41.16, diff:+1.06
probe:18:45:45.09, resp:18:45:46.16, diff:+1.06
probe:18:45:50.09, resp:18:45:51.16, diff:+1.06
probe:18:45:55.09, resp:18:45:56.17, diff:+1.07
probe:18:46:00.09, resp:18:46:01.17, diff:+1.07
probe:18:46:05.09, resp:18:46:06.17, diff:+1.07
probe:18:46:10.09, resp:18:46:11.08, diff:+0.99
probe:18:46:15.09, resp:18:46:15.77, diff:+0.68
probe:18:46:20.09, resp:18:46:20.49, diff:+0.39
probe:18:46:25.09, resp:18:46:25.22, diff:+0.12
probe:18:46:30.09, resp:18:46:29.88, diff:-0.22
probe:18:46:35.09, resp:18:46:34.26, diff:-0.83
probe:18:46:40.09, resp:18:46:39.22, diff:-0.88
probe:18:46:45.09, resp:18:46:44.22, diff:-0.88
probe:18:46:50.09, resp:18:46:48.71, diff:-1.39
probe:18:46:55.09, resp:18:46:53.07, diff:-2.02
probe:18:47:00.09, resp:18:46:57.46, diff:-2.64
probe:18:47:05.09, resp:18:47:01.86, diff:-3.23
probe:18:47:10.09, resp:18:47:06.29, diff:-3.80
probe:18:47:15.09, resp:18:47:10.75, diff:-4.35
probe:18:47:20.09, resp:18:47:15.75, diff:-4.34
probe:18:47:25.09, resp:18:47:20.75, diff:-4.34
probe:18:47:30.09, resp:18:47:25.75, diff:-4.34
probe:18:47:35.09, resp:18:47:30.76, diff:-4.33
probe:18:47:40.09, resp:18:47:35.18, diff:-4.92
probe:18:47:45.09, resp:18:47:39.57, diff:-5.52
probe:18:47:50.09, resp:18:47:43.99, diff:-6.11
probe:18:47:55.09, resp:18:47:48.84, diff:-6.25
probe:18:48:00.09, resp:18:47:53.84, diff:-6.25
probe:18:48:05.09, resp:18:47:58.85, diff:-6.24
probe:18:48:10.09, resp:18:48:03.79, diff:-6.30
probe:18:48:15.09, resp:18:48:08.23, diff:-6.87
probe:18:48:20.09, resp:18:48:12.63, diff:-7.47
probe:18:48:25.09, resp:18:48:17.18, diff:-7.92
probe:18:48:30.09, resp:18:48:22.19, diff:-7.91
probe:18:48:35.09, resp:18:48:27.20, diff:-7.90
probe:18:48:40.09, resp:18:48:32.20, diff:-7.90
probe:18:48:45.09, resp:18:48:37.16, diff:-7.94
probe:18:48:50.09, resp:18:48:42.16, diff:-7.94
probe:18:48:55.09, resp:18:48:47.17, diff:-7.93
probe:18:49:00.09, resp:18:48:52.17, diff:-7.93
probe:18:49:05.09, resp:18:49:06.31, diff:+1.22
probe:18:49:10.09, resp:18:49:11.31, diff:+1.22
probe:18:49:15.09, resp:18:49:16.32, diff:+1.23
probe:18:49:20.09, resp:18:49:21.32, diff:+1.23
probe:18:49:25.09, resp:18:49:26.32, diff:+1.23
probe:18:49:30.09, resp:18:49:31.07, diff:+0.98
probe:18:49:35.09, resp:18:49:35.45, diff:+0.35
probe:18:49:40.09, resp:18:49:39.82, diff:-0.27
probe:18:49:45.09, resp:18:49:44.48, diff:-0.62
probe:18:49:50.09, resp:18:49:49.48, diff:-0.62
probe:18:49:55.09, resp:18:49:53.86, diff:-1.23
probe:18:50:00.09, resp:18:49:58.66, diff:-1.44
probe:18:50:05.09, resp:18:50:03.04, diff:-2.05
probe:18:50:10.09, resp:18:50:07.54, diff:-2.55
probe:18:50:15.09, resp:18:50:12.54, diff:-2.55
probe:18:50:20.09, resp:18:50:17.54, diff:-2.55
probe:18:50:25.09, resp:18:50:22.55, diff:-2.54
probe:18:50:30.09, resp:18:50:27.55, diff:-2.54
probe:18:50:35.09, resp:18:50:32.56, diff:-2.53
probe:18:50:45.09, resp:18:50:42.56, diff:-2.53
probe:18:50:50.09, resp:18:50:47.57, diff:-2.52
probe:18:50:55.09, resp:18:50:52.57, diff:-2.52
probe:18:51:00.09, resp:18:50:57.29, diff:-2.80
probe:18:51:05.09, resp:18:51:01.69, diff:-3.41
probe:18:51:10.09, resp:18:51:06.08, diff:-4.01
probe:18:51:15.09, resp:18:51:10.47, diff:-4.63
probe:18:51:20.09, resp:18:51:15.47, diff:-4.63
probe:18:51:25.09, resp:18:51:20.48, diff:-4.62
probe:18:51:30.09, resp:18:51:25.48, diff:-4.62
probe:18:51:35.09, resp:18:51:30.48, diff:-4.62
probe:18:51:40.09, resp:18:51:35.49, diff:-4.61
probe:18:51:45.09, resp:18:51:40.49, diff:-4.61
probe:18:51:50.09, resp:18:51:45.23, diff:-4.87
probe:18:51:55.09, resp:18:51:50.11, diff:-4.98
probe:18:52:00.09, resp:18:51:54.52, diff:-5.57
probe:18:52:05.09, resp:18:51:58.94, diff:-6.16
probe:18:52:10.09, resp:18:52:03.82, diff:-6.27
probe:18:52:15.09, resp:18:52:08.82, diff:-6.27
probe:18:52:20.09, resp:18:52:13.82, diff:-6.27
probe:18:52:25.09, resp:18:52:18.83, diff:-6.26
probe:18:52:30.09, resp:18:52:23.83, diff:-6.26
probe:18:52:35.09, resp:18:52:28.83, diff:-6.26
probe:18:52:40.09, resp:18:52:33.84, diff:-6.25
probe:18:52:45.09, resp:18:52:38.84, diff:-6.25
probe:18:52:50.09, resp:18:52:43.85, diff:-6.24
probe:18:52:55.09, resp:18:52:48.57, diff:-6.52
probe:18:53:00.09, resp:18:52:53.47, diff:-6.63
probe:18:53:05.09, resp:18:52:57.85, diff:-7.24
probe:18:53:10.09, resp:18:53:02.25, diff:-7.84
probe:18:53:15.09, resp:18:53:06.66, diff:-8.44
probe:18:53:20.09, resp:18:53:11.20, diff:-8.90
probe:18:53:25.09, resp:18:53:16.21, diff:-8.89
probe:18:53:30.09, resp:18:53:21.21, diff:-8.89
probe:18:53:35.09, resp:18:53:26.21, diff:-8.89
probe:18:53:40.09, resp:18:53:31.22, diff:-8.88
probe:18:53:45.09, resp:18:53:36.23, diff:-8.87
probe:18:53:50.09, resp:18:53:41.22, diff:-8.88
probe:18:53:55.09, resp:18:53:46.23, diff:-8.87
probe:18:54:00.09, resp:18:53:51.23, diff:-8.87
probe:18:54:05.09, resp:18:54:06.31, diff:+1.22
probe:18:54:10.09, resp:18:54:10.74, diff:+0.64
probe:18:54:15.09, resp:18:54:15.16, diff:+0.06
probe:18:54:20.09, resp:18:54:20.09, diff:+0.00
probe:18:54:25.09, resp:18:54:25.09, diff:+0.00
probe:18:54:30.09, resp:18:54:30.10, diff:+0.01
probe:18:54:35.09, resp:18:54:34.93, diff:-0.17
probe:18:54:40.09, resp:18:54:39.55, diff:-0.54
probe:18:54:45.09, resp:18:54:44.56, diff:-0.53
probe:18:54:50.09, resp:18:54:49.56, diff:-0.53
probe:18:54:55.09, resp:18:54:54.25, diff:-0.84
probe:18:55:00.09, resp:18:54:58.67, diff:-1.43
probe:18:55:05.09, resp:18:55:03.05, diff:-2.04
probe:18:55:10.09, resp:18:55:07.43, diff:-2.67
probe:18:55:15.09, resp:18:55:11.82, diff:-3.27
probe:18:55:20.09, resp:18:55:16.23, diff:-3.87
probe:18:55:30.09, resp:18:55:25.74, diff:-4.36
probe:18:55:35.09, resp:18:55:30.74, diff:-4.36
probe:18:55:40.09, resp:18:55:35.74, diff:-4.36
probe:18:55:45.09, resp:18:55:40.75, diff:-4.35
probe:18:55:50.09, resp:18:55:45.50, diff:-4.60
probe:18:55:55.09, resp:18:55:49.90, diff:-5.20
probe:18:56:00.09, resp:18:55:54.30, diff:-5.79
probe:18:56:05.09, resp:18:55:58.69, diff:-6.41
probe:18:56:10.09, resp:18:56:03.50, diff:-6.59
probe:18:56:15.09, resp:18:56:08.50, diff:-6.59
probe:18:56:20.09, resp:18:56:13.51, diff:-6.58
probe:18:56:25.09, resp:18:56:18.51, diff:-6.58
probe:18:56:30.09, resp:18:56:23.51, diff:-6.58
probe:18:56:35.09, resp:18:56:28.52, diff:-6.57
probe:18:56:40.09, resp:18:56:33.00, diff:-7.10
probe:18:56:45.09, resp:18:56:37.67, diff:-7.43
probe:18:56:50.09, resp:18:56:42.67, diff:-7.43
probe:18:56:55.09, resp:18:56:47.67, diff:-7.43
probe:18:57:00.09, resp:18:56:52.68, diff:-7.42
probe:18:57:05.09, resp:18:56:57.68, diff:-7.42
probe:18:57:10.09, resp:18:57:02.69, diff:-7.41
probe:18:57:15.09, resp:18:57:07.69, diff:-7.41
probe:18:57:20.09, resp:18:57:12.70, diff:-7.40
probe:18:57:25.09, resp:18:57:17.70, diff:-7.40
probe:18:57:30.09, resp:18:57:22.70, diff:-7.40
probe:18:57:35.09, resp:18:57:27.49, diff:-7.61
probe:18:57:40.09, resp:18:57:32.06, diff:-8.03
probe:18:57:45.09, resp:18:57:37.06, diff:-8.03
probe:18:57:50.09, resp:18:57:42.07, diff:-8.02
probe:18:57:55.09, resp:18:57:47.07, diff:-8.02
probe:18:58:00.09, resp:18:57:52.07, diff:-8.02
probe:18:58:05.09, resp:18:57:57.08, diff:-8.01
probe:18:58:10.09, resp:18:58:02.08, diff:-8.01
probe:18:58:15.09, resp:18:58:07.08, diff:-8.01
probe:18:58:20.09, resp:18:58:12.09, diff:-8.00
probe:18:58:25.09, resp:18:58:17.09, diff:-8.00
probe:18:58:30.10, resp:18:58:22.10, diff:-8.00
probe:18:58:35.10, resp:18:58:27.10, diff:-8.00
probe:18:58:40.10, resp:18:58:32.11, diff:-7.99
probe:18:58:45.10, resp:18:58:37.11, diff:-7.99
probe:18:58:50.10, resp:18:58:42.11, diff:-7.99
probe:18:58:55.10, resp:18:58:47.13, diff:-7.98
probe:18:59:00.10, resp:18:58:52.13, diff:-7.98
probe:18:59:05.10, resp:18:59:06.75, diff:+1.64
probe:18:59:10.10, resp:18:59:11.75, diff:+1.64
probe:18:59:15.10, resp:18:59:16.75, diff:+1.65
probe:18:59:20.10, resp:18:59:21.19, diff:+1.08
probe:18:59:25.10, resp:18:59:25.57, diff:+0.47
probe:18:59:30.10, resp:18:59:29.96, diff:-0.15
probe:18:59:35.10, resp:18:59:34.36, diff:-0.74
probe:18:59:40.10, resp:18:59:38.88, diff:-1.23
probe:18:59:45.10, resp:18:59:43.88, diff:-1.23
probe:18:59:50.10, resp:18:59:48.52, diff:-1.58
probe:18:59:55.10, resp:18:59:53.53, diff:-1.57
probe:19:00:00.10, resp:18:59:58.53, diff:-1.57
probe:19:00:05.10, resp:19:00:03.53, diff:-1.57
probe:19:00:10.10, resp:19:00:08.54, diff:-1.56
probe:19:00:15.10, resp:19:00:13.54, diff:-1.56
probe:19:00:20.10, resp:19:00:18.54, diff:-1.56
probe:19:00:25.10, resp:19:00:23.55, diff:-1.55
probe:19:00:30.10, resp:19:00:28.55, diff:-1.55
probe:19:00:35.10, resp:19:00:33.49, diff:-1.62
probe:19:00:40.10, resp:19:00:37.98, diff:-2.13
probe:19:00:45.10, resp:19:00:42.99, diff:-2.12
probe:19:00:50.10, resp:19:00:47.96, diff:-2.15
probe:19:00:55.10, resp:19:00:52.52, diff:-2.58
probe:19:01:00.10, resp:19:00:57.53, diff:-2.57
probe:19:01:05.10, resp:19:01:02.36, diff:-2.74
probe:19:01:10.10, resp:19:01:06.88, diff:-3.23
probe:19:01:15.10, resp:19:01:11.89, diff:-3.22
probe:19:01:20.10, resp:19:01:16.89, diff:-3.22
probe:19:01:25.10, resp:19:01:21.49, diff:-3.62
probe:19:01:30.10, resp:19:01:25.89, diff:-4.22
probe:19:01:35.10, resp:19:01:30.51, diff:-4.59
probe:19:01:40.10, resp:19:01:35.52, diff:-4.58
probe:19:01:45.10, resp:19:01:40.17, diff:-4.94
probe:19:01:50.10, resp:19:01:44.56, diff:-5.54
probe:19:01:55.10, resp:19:01:49.03, diff:-6.07
probe:19:02:00.10, resp:19:01:54.03, diff:-6.07
probe:19:02:05.10, resp:19:01:58.43, diff:-6.68
probe:19:02:10.10, resp:19:02:02.79, diff:-7.31
probe:19:02:15.10, resp:19:02:07.19, diff:-7.92
probe:19:02:20.10, resp:19:02:11.59, diff:-8.51
probe:19:02:25.10, resp:19:02:16.54, diff:-8.56
probe:19:02:30.10, resp:19:02:21.43, diff:-8.68
probe:19:02:35.10, resp:19:02:26.04, diff:-9.06
probe:19:02:40.10, resp:19:02:30.46, diff:-9.65
probe:19:02:45.10, resp:19:02:34.84, diff:-10.26
probe:19:02:50.10, resp:19:02:39.30, diff:-10.80
probe:19:02:55.10, resp:19:02:44.30, diff:-10.80
probe:19:03:00.10, resp:19:02:49.31, diff:-10.79
probe:19:03:05.10, resp:19:02:54.31, diff:-10.79
probe:19:03:10.10, resp:19:02:59.31, diff:-10.79
probe:19:03:15.10, resp:19:03:04.32, diff:-10.78
probe:19:03:20.10, resp:19:03:09.05, diff:-11.05
probe:19:03:25.10, resp:19:03:13.89, diff:-11.22
probe:19:03:30.10, resp:19:03:18.90, diff:-11.21
probe:19:03:35.10, resp:19:03:23.90, diff:-11.21
probe:19:03:40.10, resp:19:03:28.35, diff:-11.75
probe:19:03:45.10, resp:19:03:32.75, diff:-12.36
probe:19:03:50.10, resp:19:03:37.13, diff:-12.98
probe:19:03:55.10, resp:19:03:41.71, diff:-13.40
probe:19:04:00.10, resp:19:03:46.71, diff:-13.40
probe:19:04:05.10, resp:19:03:51.71, diff:-13.40
probe:19:04:10.10, resp:19:04:11.83, diff:+1.73
probe:19:04:15.10, resp:19:04:16.24, diff:+1.13
probe:19:04:20.10, resp:19:04:20.65, diff:+0.54
probe:19:04:25.10, resp:19:04:25.47, diff:+0.36
probe:19:04:30.10, resp:19:04:30.47, diff:+0.36
