probe:18:25:40.09, resp:18:25:40.19, diff:+0.09
probe:18:41:15.09, resp:18:41:15.58, diff:+0.49
probe:18:41:20.09, resp:18:41:20.59, diff:+0.50
probe:18:41:25.09, resp:18:41:25.59, diff:+0.50
probe:18:41:30.09, resp:18:41:30.59, diff:+0.50
probe:18:41:35.09, resp:18:41:35.60, diff:+0.51
probe:18:41:40.09, resp:18:41:40.60, diff:+0.51
probe:18:41:45.09, resp:18:41:45.60, diff:+0.51
probe:18:41:50.09, resp:18:41:50.61, diff:+0.52
probe:18:41:55.09, resp:18:41:55.61, diff:+0.52
probe:18:42:00.09, resp:18:42:00.61, diff:+0.52
probe:18:42:05.09, resp:18:42:05.61, diff:+0.52
probe:18:42:10.09, resp:18:42:10.63, diff:+0.53
probe:18:42:15.09, resp:18:42:15.63, diff:+0.53
probe:18:42:20.09, resp:18:42:20.63, diff:+0.53
probe:18:42:25.09, resp:18:42:25.64, diff:+0.54
probe:18:42:30.09, resp:18:42:30.60, diff:+0.51
probe:18:42:35.09, resp:18:42:35.57, diff:+0.48
probe:18:42:40.09, resp:18:42:40.58, diff:+0.49
probe:18:42:45.09, resp:18:42:45.58, diff:+0.49
probe:18:42:50.09, resp:18:42:50.58, diff:+0.49
probe:18:42:55.09, resp:18:42:55.59, diff:+0.50
probe:18:43:00.10, resp:18:43:00.60, diff:+0.50
probe:18:43:05.10, resp:18:43:05.60, diff:+0.50
probe:18:43:10.10, resp:18:43:10.60, diff:+0.50
probe:18:43:15.10, resp:18:43:15.61, diff:+0.51
probe:18:43:20.10, resp:18:43:20.61, diff:+0.51
probe:18:43:25.10, resp:18:43:25.61, diff:+0.51
probe:18:43:30.10, resp:18:43:30.63, diff:+0.52
probe:18:43:35.10, resp:18:43:35.63, diff:+0.52
probe:18:43:40.10, resp:18:43:40.64, diff:+0.53
probe:18:43:45.10, resp:18:43:45.64, diff:+0.53
probe:18:43:50.10, resp:18:43:50.64, diff:+0.53
probe:18:43:55.10, resp:18:43:55.65, diff:+0.54
probe:18:44:00.10, resp:18:44:00.65, diff:+0.54
probe:18:44:05.10, resp:18:44:05.65, diff:+0.54
probe:18:44:10.10, resp:18:44:10.66, diff:+0.55
probe:18:44:15.10, resp:18:44:15.66, diff:+0.55
probe:18:44:20.10, resp:18:44:20.66, diff:+0.55
probe:18:44:25.10, resp:18:44:25.67, diff:+0.56
probe:18:44:30.10, resp:18:44:30.67, diff:+0.56
probe:18:44:35.10, resp:18:44:35.67, diff:+0.56
probe:18:44:40.10, resp:18:44:40.67, diff:+0.56
probe:18:44:45.10, resp:18:44:45.68, diff:+0.57
probe:18:44:50.10, resp:18:44:50.68, diff:+0.57
probe:18:44:55.10, resp:18:44:55.69, diff:+0.58
probe:18:45:00.10, resp:18:45:00.69, diff:+0.58
probe:18:45:05.10, resp:18:45:05.69, diff:+0.58
probe:18:45:10.09, resp:18:45:10.69, diff:+0.59
probe:18:45:15.09, resp:18:45:15.69, diff:+0.59
probe:18:45:20.09, resp:18:45:20.69, diff:+0.59
probe:18:45:25.09, resp:18:45:25.70, diff:+0.60
probe:18:45:30.09, resp:18:45:30.70, diff:+0.60
probe:18:45:35.09, resp:18:45:35.70, diff:+0.60
probe:18:45:40.09, resp:18:45:40.71, diff:+0.61
probe:18:45:45.09, resp:18:45:45.71, diff:+0.61
probe:18:45:50.09, resp:18:45:50.71, diff:+0.61
probe:18:45:55.09, resp:18:45:55.72, diff:+0.62
probe:18:46:00.09, resp:18:46:00.72, diff:+0.62
probe:18:46:05.09, resp:18:46:05.72, diff:+0.62
probe:18:46:10.09, resp:18:46:10.73, diff:+0.63
probe:18:46:15.09, resp:18:46:15.73, diff:+0.63
probe:18:46:20.09, resp:18:46:20.73, diff:+0.63
probe:18:46:25.09, resp:18:46:25.74, diff:+0.64
probe:18:46:30.09, resp:18:46:30.74, diff:+0.64
probe:18:46:35.09, resp:18:46:35.74, diff:+0.64
probe:18:46:40.09, resp:18:46:40.75, diff:+0.65
probe:18:46:45.09, resp:18:46:45.75, diff:+0.65
probe:18:46:50.09, resp:18:46:50.75, diff:+0.66
probe:18:46:55.09, resp:18:46:55.75, diff:+0.66
probe:18:47:00.09, resp:18:47:00.76, diff:+0.67
probe:18:47:05.09, resp:18:47:05.76, diff:+0.67
probe:18:47:10.09, resp:18:47:10.76, diff:+0.67
probe:18:47:15.09, resp:18:47:15.77, diff:+0.68
probe:18:47:20.09, resp:18:47:20.77, diff:+0.68
probe:18:47:25.09, resp:18:47:25.77, diff:+0.68
probe:18:47:30.09, resp:18:47:30.77, diff:+0.68
probe:18:47:35.09, resp:18:47:35.78, diff:+0.69
probe:18:47:40.09, resp:18:47:40.78, diff:+0.69
probe:18:47:45.09, resp:18:47:45.78, diff:+0.69
probe:18:47:50.09, resp:18:47:50.79, diff:+0.70
probe:18:47:55.09, resp:18:47:55.79, diff:+0.70
probe:18:48:00.09, resp:18:48:00.79, diff:+0.70
probe:18:48:05.09, resp:18:48:05.80, diff:+0.71
probe:18:48:10.09, resp:18:48:10.80, diff:+0.71
probe:18:48:15.09, resp:18:48:15.81, diff:+0.72
probe:18:48:20.09, resp:18:48:20.81, diff:+0.72
probe:18:48:25.09, resp:18:48:25.81, diff:+0.72
probe:18:48:30.09, resp:18:48:30.82, diff:+0.73
probe:18:48:35.09, resp:18:48:35.82, diff:+0.73
probe:18:48:40.09, resp:18:48:40.82, diff:+0.73
probe:18:48:50.09, resp:18:48:50.83, diff:+0.74
probe:18:48:55.09, resp:18:48:55.83, diff:+0.74
probe:18:49:00.09, resp:18:49:00.84, diff:+0.75
probe:18:49:05.09, resp:18:49:05.84, diff:+0.75
probe:18:49:10.09, resp:18:49:10.84, diff:+0.75
probe:18:49:15.09, resp:18:49:15.85, diff:+0.76
probe:18:49:20.09, resp:18:49:20.85, diff:+0.76
probe:18:49:25.09, resp:18:49:25.85, diff:+0.76
probe:18:49:30.09, resp:18:49:30.86, diff:+0.77
probe:18:49:35.09, resp:18:49:35.86, diff:+0.77
probe:18:49:40.09, resp:18:49:40.88, diff:+0.78
probe:18:49:45.09, resp:18:49:45.88, diff:+0.78
probe:18:49:50.09, resp:18:49:50.88, diff:+0.78
probe:18:49:55.09, resp:18:49:55.88, diff:+0.78
probe:18:50:00.09, resp:18:50:00.89, diff:+0.79
probe:18:50:05.09, resp:18:50:05.89, diff:+0.79
probe:18:50:10.09, resp:18:50:10.89, diff:+0.79
probe:18:50:15.09, resp:18:50:15.90, diff:+0.80
probe:18:50:20.09, resp:18:50:20.90, diff:+0.80
probe:18:50:25.09, resp:18:50:25.90, diff:+0.80
probe:18:50:30.09, resp:18:50:30.91, diff:+0.81
probe:18:50:35.09, resp:18:50:35.91, diff:+0.81
probe:18:50:40.09, resp:18:50:40.92, diff:+0.82
probe:18:50:45.09, resp:18:50:45.92, diff:+0.82
probe:18:50:50.09, resp:18:50:50.92, diff:+0.82
probe:18:50:55.09, resp:18:50:55.93, diff:+0.83
probe:18:51:00.09, resp:18:51:00.93, diff:+0.83
probe:18:51:05.09, resp:18:51:05.93, diff:+0.83
probe:18:51:10.09, resp:18:51:10.94, diff:+0.84
probe:18:51:15.09, resp:18:51:15.94, diff:+0.84
probe:18:51:20.09, resp:18:51:20.94, diff:+0.84
probe:18:51:25.09, resp:18:51:25.95, diff:+0.85
probe:18:51:30.09, resp:18:51:30.95, diff:+0.85
probe:18:51:35.09, resp:18:51:35.95, diff:+0.85
probe:18:51:40.09, resp:18:51:40.96, diff:+0.86
probe:18:51:45.09, resp:18:51:45.96, diff:+0.86
probe:18:51:50.09, resp:18:51:50.96, diff:+0.86
probe:18:51:55.09, resp:18:51:55.97, diff:+0.87
probe:18:52:00.09, resp:18:52:00.94, diff:+0.84
probe:18:52:10.09, resp:18:52:10.92, diff:+0.82
probe:18:52:15.09, resp:18:52:15.92, diff:+0.82
probe:18:52:20.09, resp:18:52:20.92, diff:+0.82
probe:18:52:25.09, resp:18:52:25.91, diff:+0.81
probe:18:52:30.09, resp:18:52:30.91, diff:+0.81
probe:18:52:35.09, resp:18:52:35.88, diff:+0.78
probe:18:52:40.09, resp:18:52:40.88, diff:+0.78
probe:18:52:45.09, resp:18:52:45.89, diff:+0.79
probe:18:52:50.09, resp:18:52:50.89, diff:+0.79
probe:18:52:55.09, resp:18:52:55.89, diff:+0.79
probe:18:53:00.09, resp:18:53:00.89, diff:+0.79
probe:18:53:05.09, resp:18:53:05.90, diff:+0.80
probe:18:53:10.09, resp:18:53:10.90, diff:+0.80
probe:18:53:15.09, resp:18:53:15.91, diff:+0.81
probe:18:53:20.09, resp:18:53:20.91, diff:+0.81
probe:18:53:25.09, resp:18:53:25.91, diff:+0.81
probe:18:53:30.09, resp:18:53:30.92, diff:+0.82
probe:18:53:35.09, resp:18:53:35.92, diff:+0.82
probe:18:53:40.09, resp:18:53:40.92, diff:+0.82
probe:18:53:45.09, resp:18:53:45.93, diff:+0.83
probe:18:53:50.09, resp:18:53:50.93, diff:+0.83
probe:18:53:55.09, resp:18:53:55.93, diff:+0.83
probe:18:54:00.09, resp:18:54:00.94, diff:+0.84
probe:18:54:05.09, resp:18:54:05.94, diff:+0.84
probe:18:54:10.09, resp:18:54:10.94, diff:+0.84
probe:18:54:15.09, resp:18:54:15.95, diff:+0.85
probe:18:54:20.09, resp:18:54:20.95, diff:+0.85
probe:18:54:25.09, resp:18:54:25.95, diff:+0.85
probe:18:54:30.09, resp:18:54:30.96, diff:+0.86
probe:18:54:35.09, resp:18:54:35.96, diff:+0.86
probe:18:54:40.09, resp:18:54:40.96, diff:+0.86
probe:18:54:45.09, resp:18:54:45.97, diff:+0.87
probe:18:54:50.09, resp:18:54:50.97, diff:+0.87
probe:18:54:55.09, resp:18:54:55.97, diff:+0.87
probe:18:55:00.09, resp:18:55:00.98, diff:+0.88
probe:18:55:05.09, resp:18:55:05.98, diff:+0.88
probe:18:55:10.09, resp:18:55:10.98, diff:+0.88
probe:18:55:15.09, resp:18:55:15.99, diff:+0.89
probe:18:55:20.09, resp:18:55:20.99, diff:+0.89
probe:18:55:30.09, resp:18:55:31.00, diff:+0.90
probe:18:55:35.09, resp:18:55:36.00, diff:+0.90
probe:18:55:40.09, resp:18:55:41.00, diff:+0.91
probe:18:55:45.09, resp:18:55:46.00, diff:+0.91
probe:18:55:50.09, resp:18:55:51.00, diff:+0.91
probe:18:55:55.09, resp:18:55:56.01, diff:+0.92
probe:18:56:00.09, resp:18:56:01.01, diff:+0.92
probe:18:56:05.09, resp:18:56:06.01, diff:+0.92
probe:18:56:10.09, resp:18:56:10.99, diff:+0.89
probe:18:56:15.09, resp:18:56:15.99, diff:+0.89
probe:18:56:20.09, resp:18:56:21.00, diff:+0.90
probe:18:56:25.09, resp:18:56:26.00, diff:+0.90
probe:18:56:30.09, resp:18:56:31.00, diff:+0.90
probe:18:56:35.09, resp:18:56:36.00, diff:+0.91
probe:18:56:40.09, resp:18:56:41.00, diff:+0.91
probe:18:56:45.09, resp:18:56:46.00, diff:+0.91
probe:18:56:50.09, resp:18:56:53.53, diff:+3.44
probe:18:56:55.09, resp:18:56:55.96, diff:+0.86
probe:18:57:00.09, resp:18:57:00.96, diff:+0.86
probe:18:57:05.09, resp:18:57:05.97, diff:+0.87
probe:18:57:10.09, resp:18:57:10.97, diff:+0.87
probe:18:57:15.09, resp:18:57:15.97, diff:+0.87
probe:18:57:20.09, resp:18:57:20.98, diff:+0.88
probe:18:57:25.09, resp:18:57:25.98, diff:+0.88
probe:18:57:30.09, resp:18:57:30.98, diff:+0.88
probe:18:57:35.09, resp:18:57:35.98, diff:+0.88
probe:18:57:40.09, resp:18:57:40.99, diff:+0.89
probe:18:57:45.09, resp:18:57:45.99, diff:+0.89
probe:18:57:50.09, resp:18:57:51.00, diff:+0.90
probe:18:57:55.09, resp:18:57:56.00, diff:+0.90
probe:18:58:00.09, resp:18:58:01.00, diff:+0.90
probe:18:58:05.09, resp:18:58:06.00, diff:+0.91
probe:18:58:10.09, resp:18:58:11.00, diff:+0.91
probe:18:58:15.09, resp:18:58:16.00, diff:+0.91
probe:18:58:20.09, resp:18:58:21.01, diff:+0.92
probe:18:58:25.09, resp:18:58:26.01, diff:+0.92
probe:18:58:30.10, resp:18:58:31.02, diff:+0.92
probe:18:58:35.10, resp:18:58:36.02, diff:+0.92
probe:18:58:40.10, resp:18:58:41.02, diff:+0.92
probe:18:58:45.10, resp:18:58:46.03, diff:+0.93
probe:18:58:50.10, resp:18:58:51.03, diff:+0.93
probe:18:58:55.10, resp:18:58:56.03, diff:+0.93
probe:18:59:00.10, resp:18:59:01.00, diff:+0.90
probe:18:59:05.10, resp:18:59:05.98, diff:+0.87
probe:18:59:10.10, resp:18:59:10.98, diff:+0.87
probe:18:59:15.10, resp:18:59:15.95, diff:+0.84
probe:18:59:20.10, resp:18:59:20.93, diff:+0.82
probe:18:59:25.10, resp:18:59:25.90, diff:+0.79
probe:18:59:30.10, resp:18:59:30.89, diff:+0.78
probe:18:59:35.10, resp:18:59:35.85, diff:+0.75
probe:18:59:40.10, resp:18:59:40.83, diff:+0.73
probe:18:59:45.10, resp:18:59:45.83, diff:+0.73
probe:18:59:50.10, resp:18:59:50.82, diff:+0.72
probe:18:59:55.10, resp:18:59:55.82, diff:+0.72
probe:19:00:00.10, resp:19:00:00.82, diff:+0.72
probe:19:00:05.10, resp:19:00:05.82, diff:+0.72
probe:19:00:10.10, resp:19:00:10.82, diff:+0.72
probe:19:00:15.10, resp:19:00:15.82, diff:+0.72
probe:19:00:20.10, resp:19:00:20.81, diff:+0.71
probe:19:00:25.10, resp:19:00:25.81, diff:+0.71
probe:19:00:30.10, resp:19:00:30.81, diff:+0.71
probe:19:00:35.10, resp:19:00:35.81, diff:+0.71
probe:19:00:40.10, resp:19:00:40.81, diff:+0.71
probe:19:00:45.10, resp:19:00:45.81, diff:+0.71
probe:19:00:50.10, resp:19:00:50.80, diff:+0.70
probe:19:00:55.10, resp:19:00:55.80, diff:+0.70
probe:19:01:00.10, resp:19:01:00.80, diff:+0.70
probe:19:01:05.10, resp:19:01:05.80, diff:+0.70
probe:19:01:10.10, resp:19:01:10.80, diff:+0.70
probe:19:01:15.10, resp:19:01:15.80, diff:+0.70
probe:19:01:20.10, resp:19:01:20.80, diff:+0.70
probe:19:01:25.10, resp:19:01:25.80, diff:+0.70
probe:19:01:30.10, resp:19:01:30.80, diff:+0.70
probe:19:01:35.10, resp:19:01:35.79, diff:+0.69
probe:19:01:40.10, resp:19:01:40.79, diff:+0.69
probe:19:01:45.10, resp:19:01:45.79, diff:+0.69
probe:19:01:50.10, resp:19:01:50.79, diff:+0.69
probe:19:01:55.10, resp:19:01:55.79, diff:+0.69
probe:19:02:00.10, resp:19:02:00.79, diff:+0.69
probe:19:02:05.10, resp:19:02:05.79, diff:+0.69
probe:19:02:10.10, resp:19:02:10.78, diff:+0.68
probe:19:02:15.10, resp:19:02:15.78, diff:+0.68
probe:19:02:20.10, resp:19:02:20.78, diff:+0.68
probe:19:02:25.10, resp:19:02:25.78, diff:+0.68
probe:19:02:30.10, resp:19:02:30.78, diff:+0.68
probe:19:02:35.10, resp:19:02:35.75, diff:+0.65
probe:19:02:40.10, resp:19:02:40.75, diff:+0.64
probe:19:02:45.10, resp:19:02:45.75, diff:+0.64
probe:19:02:50.10, resp:19:02:50.75, diff:+0.64
probe:19:02:55.10, resp:19:02:55.75, diff:+0.64
probe:19:03:00.10, resp:19:03:00.74, diff:+0.63
probe:19:03:05.10, resp:19:03:05.74, diff:+0.63
probe:19:03:10.10, resp:19:03:10.74, diff:+0.63
probe:19:03:15.10, resp:19:03:15.74, diff:+0.63
probe:19:03:20.10, resp:19:03:20.74, diff:+0.63
probe:19:03:25.10, resp:19:03:25.74, diff:+0.63
probe:19:03:30.10, resp:19:03:30.74, diff:+0.63
probe:19:03:35.10, resp:19:03:35.74, diff:+0.63
probe:19:03:40.10, resp:19:03:40.73, diff:+0.62
probe:19:03:45.10, resp:19:03:45.73, diff:+0.62
probe:19:03:50.10, resp:19:03:50.73, diff:+0.62
probe:19:03:55.10, resp:19:03:55.73, diff:+0.62
probe:19:04:00.10, resp:19:04:00.73, diff:+0.62
probe:19:04:05.10, resp:19:04:05.73, diff:+0.62
probe:19:04:10.10, resp:19:04:10.73, diff:+0.62
probe:19:04:15.10, resp:19:04:15.73, diff:+0.62
probe:19:04:20.10, resp:19:04:20.73, diff:+0.62
probe:19:04:25.10, resp:19:04:25.72, diff:+0.61
probe:19:04:30.10, resp:19:04:30.72, diff:+0.61
probe:19:04:35.10, resp:19:04:35.72, diff:+0.61
